file,category,persons,vehicles,weapons,total,conf,score,priority,ms
cvat_cvat_cvat_cvat_frame_0001.jpg,test,0,0,0,0,0.3,0.809,MEDIUM,747.4
cvat_cvat_cvat_cvat_frame_0006.jpg,test,1,0,0,1,0.475,0.79,MEDIUM,534.0
cvat_cvat_cvat_cvat_frame_0007.jpg,test,1,0,0,1,0.272,0.802,MEDIUM,556.8
cvat_cvat_cvat_cvat_frame_0008.jpg,test,0,0,0,0,0.3,0.843,MEDIUM,838.2
cvat_cvat_cvat_cvat_frame_0014.jpg,test,0,0,0,0,0.3,0.809,MEDIUM,551.6
cvat_cvat_cvat_cvat_frame_0015.jpg,test,0,0,0,0,0.3,0.807,MEDIUM,514.0
cvat_cvat_cvat_cvat_frame_0017.jpg,test,0,0,0,0,0.3,0.809,MEDIUM,523.6
cvat_cvat_cvat_cvat_frame_0071.jpg,test,0,0,0,0,0.3,0.846,MEDIUM,531.6
cvat_cvat_cvat_dt_P0019.jpg,test,0,13,0,39,0.402,0.774,MEDIUM,542.2
cvat_cvat_cvat_dt_P0027.jpg,test,0,0,0,10,0.514,0.703,MEDIUM,506.6
